Entity,Code,TLA2000,TLA2015
Afghanistan,AFG,2.06782,2.06782
Africa,,22.33551,20.72245
Albania,ALB,28.07664,28.15693
Algeria,DZA,0.66296,0.82125
American Samoa,ASM,90.25,87.715
Americas,,42.26014,41.05598
Andorra,AND,34.04255,34.04255
Angola,AGO,47.90888,46.40732
Anguilla,AIA,61.11111,61.11111
Antigua and Barbuda,ATG,22.72727,22.27273
Argentina,ARG,11.6418,9.90686
Armenia,ARM,11.69652,11.6614
Aruba,ABW,2.33333,2.33333
Asia,,18.24314,19.12803
Australia,AUS,16.77115,16.23876
Australia and New Zealand,,17.49025,16.97717
Austria,AUT,46.50825,46.8839
Azerbaijan,AZE,10.54644,13.78368
Bahamas,BHS,51.44855,51.44855
Bahrain,BHR,0.47686,0.77635
Bangladesh,BGD,11.27756,10.97795
Barbados,BRB,14.65116,14.65116
Belarus,BLR,40.75811,42.53417
Belgium,BEL,22.03765,22.56935
Belize,BLZ,63.97637,59.89917
Benin,BEN,44.88294,38.23164
Bermuda,BMU,18.51852,18.51852
Bhutan,BTN,68.3685,72.27576
Bolivia,BOL,55.47032,50.55294
Bonaire Sint Eustatius and Saba,BES,5.75155,5.75155
Bosnia and Herzegovina,BIH,42.67578,42.67578
Botswana,BWA,22.11812,19.12727
Brazil,BRA,62.36723,59.04878
British Virgin Islands,VGB,24.46667,24.13333
Brunei,BRN,75.33207,72.10626
Bulgaria,BGR,31.0888,35.21555
Burkina Faso,BFA,22.83626,19.55409
Burundi,BDI,7.71028,10.74766
Cambodia,KHM,65.40902,53.57467
Cameroon,CMR,46.78556,39.80453
Canada,CAN,38.24728,38.16667
Cape Verde,CPV,20.36973,22.30844
Caribbean,,26.44961,32.18611
Caucasus and Central Asia,,3.88133,3.89619
Cayman Islands,CYM,52.91667,52.91667
Central African Republic,CAF,35.96263,35.58702
Central America,,37.23256,35.18793
Central and Southern Asia,,9.71542,10.24523
Chad,TCD,5.02382,3.87151
Chile,CHL,21.29565,23.85237
China,CHN,18.78049,22.10376
Colombia,COL,55.69936,52.72802
Comoros,COM,24.18055,19.88178
Congo,COG,66.04978,65.39971
Cook Islands,COK,62.91667,62.91667
Costa Rica,CRI,46.53349,53.97571
Cote d'Ivoire,CIV,16.02028,10.69544
Croatia,HRV,33.68477,34.34596
Cuba,CUB,23.40896,30.76331
Curacao,CUW,0.17342,0.17342
Cyprus,CYP,18.57251,18.69048
Czech Republic,CZE,34.15361,34.54216
Democratic Republic of Congo,COD,69.36283,67.30244
Denmark,DNK,13.9438,14.57966
Developing regions,,27.53295,26.62947
Djibouti,DJI,0.24159,0.24159
Dominica,DMA,63.10667,57.77333
Dominican Republic,DOM,30.75968,41.0474
Eastern Africa,,32.53415,29.46282
Eastern Asia,,19.61765,22.23253
Eastern Asia (excluding Japan),,18.03474,20.72743
Eastern Europe,,47.23127,47.66192
Eastern and South-Eastern Asia,,28.1587,29.41758
Ecuador,ECU,55.27829,50.52293
Egypt,EGY,0.0593,0.0733
El Salvador,SLV,16.02317,12.78958
Equatorial Guinea,GNQ,62.13904,55.90018
Eritrea,ERI,15.60396,14.9505
Estonia,EST,51.5988,51.34576
Ethiopia,ETH,13.705,12.499
Europe,,45.28064,45.87611
Europe and Northern America,,40.54342,41.00942
Faeroe Islands,FRO,0.0595,0.0595
Falkland Islands,FLK,0,0
Federated States of Micronesia,,91.22286,91.80714
Fiji,FJI,53.66393,55.6757
Finland,FIN,73.8541,73.10717
France,FRA,27.92231,31.02702
French Guiana,GUF,99.53771,98.90511
French Polynesia,PYF,28.68852,42.34973
Gabon,GAB,85.38053,89.26146
Gambia,GMB,45.55336,48.22134
Georgia,GEO,39.72658,40.61592
Germany,DEU,32.5461,32.73242
Ghana,GHA,39.15356,41.03454
Gibraltar,GIB,0,0
Greece,GRC,27.93638,31.45074
Greenland,GRL,0.000536,0.000536
Grenada,GRD,49.97059,49.97059
Guadeloupe,GLP,45.21101,44.24257
Guam,GUM,46.2963,46.2963
Guatemala,GTM,39.26838,33.03471
Guernsey,GGY,2.5641,2.5641
Guinea,GIN,28.09702,25.8994
Guinea-Bissau,GNB,75.39118,70.12802
Guyana,GUY,84.43993,83.95225
Haiti,HTI,3.95501,3.51959
Honduras,HND,57.12754,41.04031
Hungary,HUN,21.1753,22.8543
